Name,Matrices,Rows (av),Rows (min),Rows (max),Columns (av),Columns (min),Columns (max),Cells,Header,Extra,Valued,Boolean,Integer,Double,VariabilityConceptRef,Partial,Unknown,Empty,Inconsistent,And,Or,XOr
Comparison_of_early_World_War_II_tanks,1,15.5,32,32,6.5,14,14,448,43,15,390,0,26,0,284,5,25,11,0,37,2,0
Comparison_of_e-book_formats,2,12.728813559322035,19,30,6.8559322033898304,12,16,708,73,2,633,511,0,0,15,4,100,0,0,3,0,0
Comparison_of_EDA_software,2,13.819444444444445,14,31,5.875,5,14,504,60,2,442,223,1,1,77,4,26,37,0,73,0,0
Comparison_of_eDonkey_software,4,11.953488372093023,9,32,6.041666666666667,6,17,1032,207,44,781,508,6,0,128,36,30,26,0,43,4,0
Comparison_of_educational_websites_for_children,1,8.5,18,18,2.0,5,5,90,21,1,68,4,0,0,51,6,1,0,0,6,0,0
Comparison_of_embedded_computer_systems_on_board_the_Mars_rovers,1,2.0,5,5,3.0,7,7,35,10,1,24,0,0,0,20,4,0,0,0,0,0,0
Comparison_of_encrypted_external_drives,3,7.604938271604938,16,17,3.1296296296296298,4,9,324,60,23,241,108,9,0,71,2,14,28,0,9,0,0
Comparison_of_enterprise_bookmarking_platforms,6,2.9473684210526314,6,7,4.614035087719298,7,13,399,87,6,306,224,0,2,55,7,12,0,0,5,1,0
Comparison_of_executable_file_formats,1,14.5,30,30,5.5,12,12,360,40,1,319,191,0,0,32,31,28,19,0,18,0,0
Comparison_of_facial_image_datasets,1,5.5,12,12,4.5,10,10,120,20,1,99,12,28,0,5,2,22,0,0,30,0,0
Comparison_of_fanless_layer_2_switches,1,3.0,7,7,25.0,51,51,357,56,1,300,211,18,4,15,2,44,0,0,6,0,0
Comparison_of_feed_aggregators,5,28.455760912308296,56,64,4.046401887534408,6,11,2543,323,56,2164,720,13,32,114,40,1126,70,0,49,0,0
Comparison_of_file_comparison_tools,5,12.1875,25,26,3.773076923076923,6,11,1040,153,46,841,358,17,1,114,42,7,286,0,16,0,0
Comparison_of_file_hosting_services,1,12.0,25,25,5.5,12,12,300,34,13,253,78,0,0,60,37,50,0,0,27,1,0
Comparison_of_file_verification_software,3,22.34954407294833,45,46,5.866869300911854,9,16,1645,164,39,1442,803,19,21,184,23,378,0,0,14,0,0
Comparison_of_free_and_open-source_software_licenses,2,23.818471337579616,44,52,2.789808917197452,6,7,628,105,2,521,349,15,19,49,1,78,0,0,10,0,0
Comparison_of_free_credit_report_websites,1,2.5,6,6,3.0,7,7,42,11,1,30,9,0,0,8,4,0,0,0,9,0,0
Comparison_of_free_software_e-commerce_web_application_frameworks,2,3.2804878048780486,6,8,2.951219512195122,3,8,82,21,2,59,5,4,7,34,0,0,3,0,6,0,0
